id,GEO_ID,NAME,Totol Pop,White,Black,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Other,Hispanic ,Totol Pop,White,Black,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Other,Hispanic ,,White,Black,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Other,Hispanic ,,White,Black,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Other,Hispanic 
1,0400000US01,Alabama,4876250,3320247,1299048,25565,66270,2238,70662,208626,4876250,3320247,1299048,25565,66270,2238,70662,208626,,0.680901718,0.266403076,0.005242758,0.013590361,0.000458959,0.014491054,0.042784107,,68.09,26.64,0.52,1.36,0.05,1.45,4.28
2,0400000US02,Alaska,737068,476015,24205,109751,45920,9204,11308,51870,737068,476015,24205,109751,45920,9204,11308,51870,,0.645822366,0.032839575,0.148902137,0.0623009,0.012487315,0.015341868,0.070373426,,64.58,3.28,14.89,6.23,1.25,1.53,7.04
3,0400000US04,Arizona,7050299,5444453,317462,317414,233213,14458,460262,2208663,7050299,5444453,317462,317414,233213,14458,460262,2208663,,0.772230086,0.045028161,0.045021353,0.033078455,0.002050693,0.065282621,0.313272246,,77.22,4.50,4.50,3.31,0.21,6.53,31.33
4,0400000US05,Arkansas,2999370,2301044,459542,20434,45504,8733,83576,224130,2999370,2301044,459542,20434,45504,8733,83576,224130,,0.767175774,0.153212841,0.006812764,0.015171186,0.002911611,0.027864518,0.074725692,,76.72,15.32,0.68,1.52,0.29,2.79,7.47
5,0400000US06,California,39283497,23453222,2274108,303998,5692423,155290,5481792,15327688,39283497,23453222,2274108,303998,5692423,155290,5481792,15327688,,0.597024802,0.057889653,0.007738568,0.144906219,0.003953059,0.1395444,0.390181353,,59.70,5.79,0.77,14.49,0.40,13.95,39.02
6,0400000US08,Colorado,5610349,4712574,233647,54847,178147,8643,216767,1208172,5610349,4712574,233647,54847,178147,8643,216767,1208172,,0.839978761,0.041645716,0.009776041,0.031753283,0.001540546,0.03863699,0.215347031,,84.00,4.16,0.98,3.18,0.15,3.86,21.53
7,0400000US09,Connecticut,3575074,2714031,383416,9955,161257,1123,186292,574240,3575074,2714031,383416,9955,161257,1123,186292,574240,,0.759153797,0.107247011,0.002784558,0.045105919,0.000314119,0.052108572,0.160623249,,75.92,10.72,0.28,4.51,0.03,5.21,16.06
8,0400000US10,Delaware,957248,658237,212302,3729,37009,542,18350,88364,957248,658237,212302,3729,37009,542,18350,88364,,0.687634761,0.221783697,0.003895542,0.038661872,0.000566206,0.019169536,0.092310457,,68.76,22.18,0.39,3.87,0.06,1.92,9.23
9,0400000US12,Florida,20901636,15702256,3359031,59320,571276,12653,625079,5346684,20901636,15702256,3359031,59320,571276,12653,625079,5346684,,0.751245309,0.160706607,0.002838055,0.02733164,0.000605359,0.029905745,0.255802177,,75.12,16.07,0.28,2.73,0.06,2.99,25.58
10,0400000US13,Georgia,10403847,6098889,3289020,37440,414481,6233,291872,992394,10403847,6098889,3289020,37440,414481,6233,291872,992394,,0.586214792,0.316134984,0.003598669,0.039839206,0.000599105,0.028054238,0.095387216,,58.62,31.61,0.36,3.98,0.06,2.81,9.54
11,0400000US15,Hawaii,1422094,354847,26025,3710,537355,142997,17433,149118,1422094,354847,26025,3710,537355,142997,17433,149118,,0.249524293,0.018300478,0.002608829,0.377861801,0.100553831,0.012258683,0.104858047,,24.95,1.83,0.26,37.79,10.06,1.23,10.49
12,0400000US16,Idaho,1717750,1545409,11918,23136,24287,2755,59676,215476,1717750,1545409,11918,23136,24287,2755,59676,215476,,0.899670499,0.006938146,0.013468782,0.014138844,0.001603842,0.034740795,0.125440838,,89.97,0.69,1.35,1.41,0.16,3.47,12.54
13,0400000US17,Illinois,12770631,9134903,1813590,33460,698524,4477,757231,2186387,12770631,9134903,1813590,33460,698524,4477,757231,2186387,,0.715305532,0.14201256,0.002620074,0.054697689,0.00035057,0.059294721,0.171204305,,71.53,14.20,0.26,5.47,0.04,5.93,17.12
14,0400000US18,Indiana,6665703,5553391,626587,15782,151979,2506,145747,461850,6665703,5553391,626587,15782,151979,2506,145747,461850,,0.833129079,0.094001638,0.002367642,0.022800146,0.000375954,0.021865211,0.069287516,,83.31,9.40,0.24,2.28,0.04,2.19,6.93
15,0400000US19,Iowa,3139508,2826070,116359,11976,75741,3729,39048,188311,3139508,2826070,116359,11976,75741,3729,39048,188311,,0.900163338,0.037062814,0.00381461,0.024125118,0.001187766,0.012437618,0.059981054,,90.02,3.71,0.38,2.41,0.12,1.24,6.00
16,0400000US20,Kansas,2910652,2455935,170291,24010,85794,2382,71683,345680,2910652,2455935,170291,24010,85794,2382,71683,345680,,0.843774866,0.058506135,0.008249011,0.02947587,0.000818373,0.024627815,0.118763768,,84.38,5.85,0.82,2.95,0.08,2.46,11.88
17,0400000US21,Kentucky,4449052,3868479,358928,9386,65191,3182,43601,162994,4449052,3868479,358928,9386,65191,3182,43601,162994,,0.869506358,0.080675164,0.002109663,0.014652784,0.000715209,0.009800065,0.03663567,,86.95,8.07,0.21,1.47,0.07,0.98,3.66
18,0400000US22,Louisiana,4664362,2892275,1502963,26361,80806,1406,65592,239164,4664362,2892275,1502963,26361,80806,1406,65592,239164,,0.620079445,0.322222632,0.005651577,0.017324127,0.000301435,0.014062373,0.051274751,,62.01,32.22,0.57,1.73,0.03,1.41,5.13
19,0400000US23,Maine,1335492,1259522,18468,8660,15109,396,3541,22100,1335492,1259522,18468,8660,15109,396,3541,22100,,0.943114597,0.013828611,0.006484502,0.011313434,0.00029652,0.002651457,0.016548208,,94.31,1.38,0.65,1.13,0.03,0.27,1.65
20,0400000US24,Maryland,6018848,3343003,1799094,16762,378126,3034,272137,606482,6018848,3343003,1799094,16762,378126,3034,272137,606482,,0.5554224,0.298910024,0.002784918,0.06282365,0.000504083,0.045214134,0.100763801,,55.54,29.89,0.28,6.28,0.05,4.52,10.08
21,0400000US25,Massachusetts,6850553,5348538,522357,14764,452436,2804,286619,809179,6850553,5348538,522357,14764,452436,2804,286619,809179,,0.780745438,0.076250341,0.002155154,0.066043719,0.00040931,0.041838812,0.118118785,,78.07,7.63,0.22,6.60,0.04,4.18,11.81
22,0400000US26,Michigan,9965265,7813755,1374314,53316,311721,3099,117801,507353,9965265,7813755,1374314,53316,311721,3099,117801,507353,,0.784099068,0.137910432,0.005350184,0.031280754,0.00031098,0.011821161,0.050912143,,78.41,13.79,0.54,3.13,0.03,1.18,5.09
23,0400000US27,Minnesota,5563378,4609049,356515,58011,268181,2194,104032,299556,5563378,4609049,356515,58011,268181,2194,104032,299556,,0.828462312,0.064082469,0.010427298,0.048204706,0.000394365,0.01869943,0.053844265,,82.85,6.41,1.04,4.82,0.04,1.87,5.38
24,0400000US28,Mississippi,2984418,1743217,1125623,14269,29605,680,30728,91202,2984418,1743217,1125623,14269,29605,680,30728,91202,,0.584106181,0.37716667,0.004781167,0.009919857,0.00022785,0.010296145,0.030559392,,58.41,37.72,0.48,0.99,0.02,1.03,3.06
25,0400000US29,Missouri,6104910,5015904,701334,27084,120654,8231,71335,254791,6104910,5015904,701334,27084,120654,8231,71335,254791,,0.821618009,0.114880318,0.004436429,0.019763436,0.001348259,0.011684857,0.041735423,,82.16,11.49,0.44,1.98,0.13,1.17,4.17
26,0400000US30,Montana,1050649,930204,5303,66839,8259,807,7076,40314,1050649,930204,5303,66839,8259,807,7076,40314,,0.885361334,0.005047356,0.063616869,0.007860856,0.000768097,0.006734885,0.038370569,,88.54,0.50,6.36,0.79,0.08,0.67,3.84
27,0400000US31,Nebraska,1914571,1666871,92406,17673,45655,1327,40253,208271,1914571,1666871,92406,17673,45655,1327,40253,208271,,0.870623759,0.048264598,0.009230789,0.023846073,0.000693106,0.021024553,0.108782072,,87.06,4.83,0.92,2.38,0.07,2.10,10.88
28,0400000US32,Nevada,2972382,1949707,271005,38026,242267,20022,304947,853041,2972382,1949707,271005,38026,242267,20022,304947,853041,,0.655940925,0.091174351,0.012793107,0.081506011,0.006736012,0.102593476,0.286989021,,65.59,9.12,1.28,8.15,0.67,10.26,28.70
29,0400000US33,New Hampshire,1348124,1252128,21546,2036,36180,443,7510,50493,1348124,1252128,21546,2036,36180,443,7510,50493,,0.9287929,0.015982209,0.001510247,0.026837294,0.000328605,0.005570704,0.03745427,,92.88,1.60,0.15,2.68,0.03,0.56,3.75
30,0400000US34,New Jersey,8878503,6018074,1194882,19711,840168,3458,558665,1794736,8878503,6018074,1194882,19711,840168,3458,558665,1794736,,0.677825305,0.134581472,0.002220081,0.094629466,0.00038948,0.062923333,0.202143988,,67.78,13.46,0.22,9.46,0.04,6.29,20.21
31,0400000US35,New Mexico,2092454,1565366,44120,199845,32577,1644,180638,1020817,2092454,1565366,44120,199845,32577,1644,180638,1020817,,0.748100556,0.02108529,0.095507476,0.015568801,0.00078568,0.086328302,0.487856364,,74.81,2.11,9.55,1.56,0.08,8.63,48.79
32,0400000US36,New York,19572319,12459687,3065471,79512,1647606,8821,1694965,3720983,19572319,12459687,3065471,79512,1647606,8821,1694965,3720983,,0.63659738,0.156622779,0.004062472,0.084180418,0.000450688,0.086600111,0.190114569,,63.66,15.66,0.41,8.42,0.05,8.66,19.01
33,0400000US37,North Carolina,10264876,7049919,2200761,123952,292992,7213,316763,962665,10264876,7049919,2200761,123952,292992,7213,316763,962665,,0.686800211,0.214397232,0.012075353,0.02854316,0.000702687,0.030858921,0.093782429,,68.68,21.44,1.21,2.85,0.07,3.09,9.38
34,0400000US38,North Dakota,756717,655136,21985,40006,11006,863,8109,28317,756717,655136,21985,40006,11006,863,8109,28317,,0.865760912,0.029053133,0.052867849,0.014544407,0.001140453,0.010716027,0.037420859,,86.58,2.91,5.29,1.45,0.11,1.07,3.74
35,0400000US39,Ohio,11655397,9476047,1446193,22816,258199,3880,112836,443415,11655397,9476047,1446193,22816,258199,3880,112836,443415,,0.813017952,0.124079257,0.001957548,0.022152742,0.000332893,0.009681009,0.038043749,,81.30,12.41,0.20,2.22,0.03,0.97,3.80
36,0400000US40,Oklahoma,3932870,2844070,286356,299621,85239,6260,106709,417906,3932870,2844070,286356,299621,85239,6260,106709,417906,,0.723153829,0.07281095,0.076183805,0.021673485,0.001591713,0.027132603,0.106259805,,72.32,7.28,7.62,2.17,0.16,2.71,10.63
37,0400000US41,Oregon,4129803,3480920,78679,48060,180580,16625,126587,537217,4129803,3480920,78679,48060,180580,16625,126587,537217,,0.842877977,0.019051514,0.011637359,0.043726057,0.004025616,0.030652067,0.13008296,,84.29,1.91,1.16,4.37,0.40,3.07,13.01
38,0400000US42,Pennsylvania,12791530,10300602,1430664,24691,436324,4198,275177,935216,12791530,10300602,1430664,24691,436324,4198,275177,935216,,0.805267392,0.111844635,0.001930262,0.034110384,0.000328186,0.021512438,0.07311213,,80.53,11.18,0.19,3.41,0.03,2.15,7.31
39,0400000US44,Rhode Island,1057231,850597,71561,5277,35958,810,57807,163226,1057231,850597,71561,5277,35958,810,57807,163226,,0.804551702,0.067687194,0.004991341,0.034011489,0.000766152,0.054677738,0.1543901,,80.46,6.77,0.50,3.40,0.08,5.47,15.44
40,0400000US45,South Carolina,5020806,3372011,1344139,17645,78805,4002,88274,285458,5020806,3372011,1344139,17645,78805,4002,88274,285458,,0.671607507,0.267713789,0.003514376,0.015695687,0.000797083,0.017581639,0.056855015,,67.16,26.77,0.35,1.57,0.08,1.76,5.69
41,0400000US46,South Dakota,870638,733719,17531,76190,12627,504,7230,33024,870638,733719,17531,76190,12627,504,7230,33024,,0.842737165,0.020135808,0.087510538,0.014503157,0.000578886,0.008304255,0.037930805,,84.27,2.01,8.75,1.45,0.06,0.83,3.79
42,0400000US47,Tennessee,6709356,5205132,1124473,18189,117600,3771,92655,364174,6709356,5205132,1124473,18189,117600,3771,92655,364174,,0.775802029,0.167597755,0.00271099,0.017527763,0.000562051,0.01380982,0.054278533,,77.58,16.76,0.27,1.75,0.06,1.38,5.43
43,0400000US48,Texas,28260856,20903375,3428211,141425,1357273,25292,1643869,11116881,28260856,20903375,3428211,141425,1357273,25292,1643869,11116881,,0.73965824,0.121305986,0.005004272,0.048026606,0.000894948,0.0581677,0.393366747,,73.97,12.13,0.50,4.80,0.09,5.82,39.34
